"1","James Ruse Agricultural High School","73.1 %","165","1058","773","b'Govt. selective'","b'Metro'"
"2","Baulkham Hills High School","62.3 %","204","1231","767","b'Govt. selective'","b'Metro'"
"3","North Sydney Boys High School","59.2 %","160","981","581","b'Govt. selective'","b'Metro'"
"4","North Sydney Girls High School","52.4 %","156","957","501","b'Govt. selective'","b'Metro'"
"5","Hornsby Girls High School","51.5 %","122","732","377","b'Govt. selective'","b'Metro'"
"6","Sydney Grammar School","50.4 %","185","1203","606","b'Non-government'","b'Metro'"
"7","Sydney Boys High School","49.8 %","209","1249","622","b'Govt. selective'","b'Metro'"
"8","Reddam House","49.4 %","94","502","248","b'Non-government'","b'Metro'"
"9","Northern Beaches Secondary College Manly Campus","48.9 %","140","814","398","b'Government'","b'Metro'"
"10","Conservatorium High School","46.5 %","27","187","87","b'Government'","b'Metro'"
"11","Normanhurst Boys High School","45.7 %","121","749","342","b'Govt. selective'","b'Metro'"
"12","SCEGGS Darlinghurst","45.3 %","106","633","287","b'Non-government'","b'Metro'"
"13","Sydney Girls High School","43.4 %","172","1077","467","b'Govt. selective'","b'Metro'"
"14","Abbotsleigh","43.2 %","152","966","417","b'Non-government'","b'Metro'"
"15","Wenona School","43.1 %","113","662","285","b'Non-government'","b'Metro'"
"16","Kambala","43.0 %","67","402","173","b'Non-government'","b'Metro'"
"17","St George Girls High School","41.6 %","158","902","375","b'Govt. selective'","b'Metro'"
"18","Ascham School","40.1 %","97","526","211","b'Non-government'","b'Metro'"
"19","Queenwood School for Girls","39.0 %","85","495","193","b'Non-government'","b'Metro'"
"20","Girraween High School","38.0 %","140","823","313","b'Govt. selective'","b'Metro'"
"21","Fort Street High School","37.6 %","172","1068","401","b'Govt. selective'","b'Metro'"
"22","Meriden School","37.1 %","110","620","230","b'Non-government'","b'Metro'"
"23","St Aloysius' College","36.8 %","158","938","345","b'Non-government'","b'Metro'"
"24","Kincoppal - Rose Bay School of the Sacred Heart","36.6 %","85","549","201","b'Non-government'","b'Metro'"
"25","Loreto Kirribilli","35.7 %","133","830","296","b'Non-government'","b'Metro'"
"26","SHORE - Sydney Church of England Grammar School","35.3 %","209","1146","404","b'Non-government'","b'Metro'"
"27","Moriah College","34.0 %","129","709","241","b'Non-government'","b'Metro'"
"28","Knox Grammar School","32.7 %","285","1536","502","b'Non-government'","b'Metro'"
"29","Caringbah High School","32.6 %","154","864","282","b'Govt. selective'","b'Metro'"
"30","The King's School","32.4 %","206","1148","372","b'Non-government'","b'Metro'"
"31","Pymble Ladies' College","32.2 %","262","1536","494","b'Non-government'","b'Metro'"
"32","Penrith High School","32.1 %","156","959","308","b'Govt. selective'","b'Metro'"
"33","Barker College","30.8 %","320","1795","553","b'Non-government'","b'Metro'"
"34","Hurlstone Agricultural High School","30.2 %","169","963","291","b'Govt. selective'","b'Metro'"
"35","Sydney Technical High School","29.0 %","163","901","261","b'Govt. selective'","b'Metro'"
"36","Presbyterian Ladies' College Sydney","29.0 %","116","670","194","b'Non-government'","b'Metro'"
"37","Merewether High School","28.7 %","172","1070","307","b'Govt. selective'","b'Metro'"
"38","Emanuel School","28.5 %","65","358","102","b'Non-government'","b'Metro'"
"39","Ravenswood School for Girls","28.3 %","106","572","162","b'Non-government'","b'Metro'"
"40","Roseville College","27.3 %","85","476","130","b'Non-government'","b'Metro'"
"41","Alpha Omega Senior College","27.2 %","73","415","113","b'Non-government'","b'Metro'"
"42","Al-Faisal College","27.0 %","78","389","105","b'Non-government'","b'Metro'"
"43","Tara Anglican School for Girls","26.4 %","67","383","101","b'Non-government'","b'Metro'"
"44","Loreto Normanhurst","26.3 %","144","875","230","b'Non-government'","b'Metro'"
"45","Tangara School for Girls","25.9 %","25","135","35","b'Non-government'","b'Metro'"
"46","St Catherine's School","25.9 %","109","657","170","b'Non-government'","b'Metro'"
"47","Santa Sabina College","25.3 %","129","783","198","b'Non-government'","b'Metro'"
"48","St Ignatius' College","25.0 %","231","1403","351","b'Non-government'","b'Metro'"
"49","Gosford High School","24.9 %","180","1003","250","b'Govt. selective'","b'Country'"
"50","Brigidine College St Ives","24.8 %","169","912","226","b'Non-government'","b'Metro'"
"51","Frensham School","24.5 %","56","318","78","b'Non-government'","b'Country'"
"52","Parramatta Marist High School","24.4 %","137","757","185","b'Non-government'","b'Metro'"
"53","Sefton High School","24.3 %","150","827","201","b'Govt. selective'","b'Metro'"
"54","Cheltenham Girls High School","24.3 %","194","1017","247","b'Government'","b'Metro'"
"55","Australian International School Hong Kong","23.7 %","39","228","54","b'\xc2\xa0'","b'\xc2\xa0'"
"56","Cranbrook School","23.5 %","157","967","227","b'Non-government'","b'Metro'"
"57","Brigidine College Randwick","23.2 %","128","746","173","b'Non-government'","b'Metro'"
"58","St Luke's Grammar School","22.9 %","95","534","122","b'Non-government'","b'Metro'"
"59","Cherrybrook Technology High School","22.8 %","341","1852","423","b'Government'","b'Metro'"
"60","Redfield College","22.5 %","42","213","48","b'Non-government'","b'Metro'"
"61","Smiths Hill High School","22.3 %","119","727","162","b'Govt. selective'","b'Metro'"
"62","Killara High School","22.2 %","286","1549","344","b'Government'","b'Metro'"
"63","Northern Beaches Secondary College Balgowlah Boys Campus","22.2 %","55","289","64","b'Government'","b'Metro'"
"64","Oxley College","21.8 %","39","252","55","b'Non-government'","b'Country'"
"65","Newcastle Grammar School","21.6 %","88","509","110","b'Non-government'","b'Country'"
"66","Willoughby Girls High School","21.4 %","148","766","164","b'Govt. selective'","b'Metro'"
"67","Mercy Catholic College","21.3 %","81","464","99","b'Non-government'","b'Metro'"
"68","MLC School","21.3 %","85","451","96","b'Non-government'","b'Metro'"
"69","Danebank - An Anglican School For Girls","20.0 %","93","589","118","b'Non-government'","b'Metro'"
"70","Macquarie Grammar School","20.0 %","9","45","9","b'Non-government'","b'Metro'"
"71","Freeman Catholic College","19.9 %","176","1096","218","b'Non-government'","b'Metro'"
"72","Central Coast Grammar School","19.7 %","106","600","118","b'Non-government'","b'Metro'"
