"School
","2019
","2018
","2017
","2016
","2015
"
"James Ruse Agricultural High School
","250
","241
","243
","239
","230
"
"North Sydney Boys High School
","234
","226
","225
","225
","221
"
"Baulkham Hills High School
","230
","217
","229
","231
","235
"
"Sydney Boys High School
","229
","217
","217
","212
","220
"
"Hornsby Girls High School
","227
","217
","213
","212
","216
"
"North Sydney Girls High School
","226
","216
","216
","212
","219
"
"Girraween High School
","225
","216
","217
","210
","210
"
"Normanhurst Boys High School
","225
","218
","211
","210
","214
"
"Sydney Girls High School
","225
","216
","215
","214
","223
"
"Fort Street High School
","222
","215
","211
","211
","216
"
"Northern Beaches Secondary College Manly Campus
","217
","207
","206
","204
","206
"
"Chatswood High School
","215
","202
","199
","195
","198
"
"Penrith High School
","215
","205
","204
","200
","199
"
"Parramatta High School
","210
","200
","194
","192
","193
"
"Hurlstone Agricultural High School
","207
","201
","203
","200
","205
"
"St George Girls High School
","207
","195
","195
","195
","202
"
"Ryde Secondary College
","201
","195
","190
","186
","191
"
"Caringbah High School
","198
","195
","197
","191
","197
"
"Sydney Technical High School
","198
","194
","191
","191
","197
"
"Sefton High School
","197
","189
","193
","189
","197
"
"Blacktown Boys High School
","195
","188
","176
","182
","179
"
"Smiths Hill High School
","194
","184
","189
","186
","182
"
"Merewether High School
","191
","183
","188
","182
","180
"
"Blacktown Girls High School
","189
","189
","176
","179
","180
"
"Tempe High School
","189
","189
","188
","180
","190
"
"Gosford High School
","188
","186
","184
","180
","182
"
"Alexandria Park Community School
","186
","170
","176
","170
","182
"
"Sydney Secondary College Leichhardt Campus
","186
","186
","183
","179
","185
"
"Rose Bay Secondary College
","184
","184
","178
","164
","174
"
"Sydney Secondary College Balmain Campus
","182
","177
","179
","179
","179
"
"Macquarie Fields High School
","179
","181
","178
","174
","178
"
"Prairiewood High School
","177
","167
","177
","166
","175
"
"Moorebank High School
","176
","170
","168
","167
","173
"
"Aurora College (Virtual)
","172
","162
","166
","170
","170
"
"Bonnyrigg High School
","162
","163
","169
","166
","170
"
"Elizabeth Macarthur High School
","162
","160
","160
","161
","161
"
"Gorokan High School
","161
","161
","161
","160
","162
"
"Grafton High School
","161
","161
","161
","160
","161
"
"Granville Boys High School
","161
","161
","162
","160
","161
"
"Peel High School
","161
","161
","160
","160
","160
"
"Armidale High School
","160
","161
","160
","160
","160
"
"Auburn Girls High School
","160
","162
","160
","160
","160
"
"Karabar High School
","160
","160
","160
","160
","162
"
